0 0.13
10 0.08
20 0.08
30 0.08
40 0.09
50 0.08
60 0.08
70 0.08
80 0.08
90 0.08
100 0.08
110 0.09
120 0.22
130 0.10
140 0.09
150 0.09
160 0.10
170 0.10
180 0.11
190 0.12
200 0.12
210 0.12
220 0.13
230 0.14
240 0.17
250 0.15
260 0.16
270 0.18
280 0.24
290 0.26
300 0.21
310 0.39
320 0.27
330 0.25
340 0.28
350 0.32
360 0.31
370 0.32
380 0.36
390 0.36
400 0.45
410 0.51
420 0.45
430 0.47
440 0.49
450 0.53
460 0.56
470 0.59
480 0.62
490 0.65
500 0.71
510 0.75
520 0.80
530 0.84
540 0.90
550 0.93
560 0.99
570 1.03
580 1.07
590 1.13
600 1.18
610 1.24
620 1.29
630 1.35
640 1.40
650 1.48
660 1.52
670 1.75
680 1.85
690 1.91
700 1.98
710 2.01
720 2.08
730 2.39
740 2.27
750 2.34
760 2.43
770 2.54
780 2.59
790 2.68
800 2.79
810 3.08
820 2.96
830 3.06
840 3.23
850 3.27
860 3.37
870 3.45
880 3.56
890 3.82
900 3.81
910 3.95
920 4.04
930 4.15
940 4.23
950 4.38
960 4.52
970 4.66
980 5.08
990 4.96
1000 4.59
