0 0.14
10 0.09
20 0.08
30 0.08
40 0.09
50 0.09
60 0.09
70 0.08
80 0.09
90 0.08
100 0.11
110 0.09
120 0.09
130 0.09
140 0.09
150 0.09
160 0.09
170 0.09
180 0.09
190 0.10
200 0.11
210 0.10
220 0.11
230 0.11
240 0.11
250 0.12
260 0.12
270 0.12
280 0.12
290 0.13
300 0.13
310 0.14
320 0.15
330 0.16
340 0.16
350 0.17
360 0.22
370 0.19
380 0.18
390 0.21
400 0.21
410 0.21
420 0.22
430 0.23
440 0.24
450 0.31
460 0.39
470 0.31
480 0.30
490 0.32
500 0.33
510 0.34
520 0.37
530 0.38
540 0.39
550 0.42
560 0.43
570 0.44
580 0.45
590 0.47
600 0.49
610 0.52
620 0.82
630 0.61
640 0.64
650 0.63
660 0.64
670 0.67
680 0.71
690 0.73
700 0.75
710 0.77
720 0.83
730 0.92
740 0.92
750 0.94
760 0.95
770 0.99
780 1.02
790 1.05
800 1.10
810 1.18
820 1.19
830 1.23
840 1.26
850 1.35
860 1.35
870 1.40
880 1.50
890 1.50
900 1.57
910 1.60
920 1.63
930 1.68
940 1.75
950 1.80
960 1.87
970 1.91
980 2.00
990 2.04
1000 2.06
